iter	Passed	Remaining
866	1156	177
867	1157	176
868	1158	174
869	1159	173
870	1160	171
871	1161	170
872	1162	169
873	1163	167
874	1164	166
875	1165	164
876	1166	163
877	1167	162
878	1168	160
879	1170	159
880	1171	158
881	1172	156
882	1173	155
883	1174	154
884	1175	152
885	1176	151
886	1177	149
887	1178	148
888	1179	147
889	1180	145
890	1181	144
891	1182	143
892	1183	141
893	1186	140
894	1188	139
895	1189	138
896	1190	136
897	1191	135
898	1192	133
899	1193	132
900	1194	131
901	1195	129
902	1196	128
903	1197	127
904	1199	125
905	1201	124
906	1202	123
907	1202	121
908	1203	120
909	1204	119
910	1205	117
911	1206	116
912	1207	115
913	1208	113
914	1209	112
915	1210	111
916	1211	109
917	1213	108
918	1215	107
919	1216	105
920	1217	104
921	1218	103
922	1219	101
923	1221	100
924	1222	99
925	1223	97
926	1224	96
927	1225	95
928	1227	93
929	1229	92
930	1230	91
931	1231	89
932	1231	88
933	1232	87
934	1233	85
935	1234	84
936	1235	83
937	1236	81
938	1237	80
939	1238	79
940	1239	77
941	1240	76
942	1242	75
943	1243	73
944	1244	72
945	1245	71
946	1246	69
947	1247	68
948	1248	67
949	1249	65
950	1250	64
951	1251	63
952	1252	61
953	1253	60
954	1254	59
955	1255	57
956	1256	56
957	1258	55
958	1259	53
959	1260	52
960	1261	51
961	1262	49
962	1263	48
963	1264	47
964	1265	45
965	1266	44
966	1267	43
967	1268	41
968	1269	40
969	1270	39
970	1271	37
971	1273	36
972	1274	35
973	1275	34
974	1276	32
975	1277	31
976	1278	30
977	1279	28
978	1280	27
979	1281	26
980	1282	24
981	1283	23
982	1284	22
983	1285	20
984	1287	19
985	1288	18
986	1289	16
987	1290	15
988	1291	14
989	1292	13
990	1293	11
991	1294	10
992	1295	9
993	1296	7
994	1297	6
995	1298	5
996	1299	3
997	1301	2
998	1302	1
999	1303	0
