iter	Passed	Remaining
680	2229	1044
681	2253	1050
682	2255	1046
683	2257	1042
684	2264	1041
685	2266	1037
686	2268	1033
687	2270	1029
688	2272	1025
689	2274	1021
690	2278	1018
691	2280	1014
692	2282	1011
693	2284	1007
694	2286	1003
695	2301	1005
696	2303	1001
697	2305	997
698	2309	994
699	2311	990
700	2313	986
701	2315	982
702	2317	979
703	2319	975
704	2323	972
705	2325	968
706	2327	964
707	2329	960
708	2331	956
709	2336	954
710	2339	951
711	2341	947
712	2343	943
713	2345	939
714	2347	935
715	2349	931
716	2351	928
717	2355	925
718	2357	921
719	2358	917
720	2360	913
721	2363	909
722	2365	906
723	2367	902
724	2369	898
725	2370	894
726	2372	890
727	2383	890
728	2385	886
729	2387	882
730	2389	879
731	2390	875
732	2393	871
733	2394	867
734	2396	864
735	2398	860
736	2400	856
737	2401	852
738	2403	848
739	2406	845
740	2408	841
741	2410	838
742	2415	835
743	2416	831
744	2418	827
745	2419	823
746	2420	819
747	2422	816
748	2424	812
749	2426	808
750	2428	805
751	2429	801
752	2431	797
753	2432	793
754	2433	789
755	2435	785
756	2436	782
757	2437	778
758	2438	774
759	2439	770
760	2442	767
761	2443	763
762	2445	759
763	2446	755
764	2447	751
765	2448	747
766	2449	744
767	2450	740
768	2451	736
769	2452	732
770	2453	728
771	2455	725
772	2457	721
773	2458	717
774	2459	714
775	2460	710
776	2462	706
777	2463	702
778	2464	699
779	2465	695
780	2466	691
781	2467	687
782	2468	684
783	2469	680
784	2471	677
785	2472	673
786	2474	669
787	2475	665
788	2476	662
789	2477	658
790	2478	654
791	2479	651
792	2480	647
793	2481	643
794	2482	640
795	2483	636
796	2486	633
797	2487	629
798	2489	626
799	2490	622
800	2491	618
801	2492	615
802	2493	611
803	2494	608
804	2495	604
805	2496	600
806	2497	597
807	2498	593
808	2501	590
809	2502	587
810	2503	583
811	2504	579
812	2505	576
813	2507	572
814	2508	569
815	2509	565
816	2510	562
817	2512	558
818	2513	555
819	2514	552
820	2516	548
821	2518	545
822	2519	541
823	2520	538
824	2521	534
825	2522	531
826	2523	527
827	2524	524
828	2525	521
829	2527	517
830	2528	514
831	2530	511
832	2532	507
833	2534	504
834	2536	501
835	2537	497
836	2539	494
837	2540	491
838	2542	487
839	2543	484
840	2546	481
841	2547	478
842	2548	474
843	2549	471
844	2551	467
845	2552	464
846	2553	461
847	2554	457
848	2555	454
849	2556	451
850	2558	447
851	2561	444
852	2562	441
853	2563	438
854	2564	434
855	2566	431
856	2567	428
857	2568	425
858	2570	421
859	2571	418
860	2572	415
861	2574	412
862	2576	408
863	2577	405
864	2578	402
865	2579	399
866	2580	395
867	2581	392
868	2582	389
869	2584	386
870	2585	382
871	2586	379
872	2587	376
873	2589	373
874	2591	370
875	2592	366
876	2594	363
877	2595	360
878	2596	357
879	2597	354
880	2598	351
881	2599	347
882	2600	344
883	2602	341
884	2604	338
885	2605	335
886	2606	332
887	2608	328
888	2609	325
889	2610	322
890	2611	319
891	2612	316
892	2613	313
893	2615	310
894	2616	306
895	2619	304
896	2620	300
897	2621	297
898	2622	294
899	2623	291
900	2625	288
901	2626	285
902	2627	282
903	2628	279
904	2629	276
905	2630	272
906	2631	269
907	2633	266
908	2634	263
909	2636	260
910	2637	257
911	2638	254
912	2639	251
913	2640	248
914	2641	245
915	2642	242
916	2643	239
917	2645	236
918	2646	233
919	2648	230
920	2649	227
921	2650	224
922	2651	221
923	2652	218
924	2653	215
925	2654	212
926	2655	209
927	2657	206
928	2658	203
929	2662	200
930	2664	197
931	2665	194
932	2666	191
933	2668	188
934	2669	185
935	2670	182
936	2671	179
937	2672	176
938	2673	173
939	2675	170
940	2677	167
941	2678	164
942	2679	161
943	2680	159
944	2681	156
945	2682	153
946	2683	150
947	2685	147
948	2686	144
949	2687	141
950	2688	138
951	2689	135
952	2690	132
953	2692	129
954	2693	126
955	2694	124
956	2695	121
957	2696	118
958	2698	115
959	2699	112
960	2700	109
961	2701	106
962	2702	103
963	2703	100
964	2704	98
965	2707	95
966	2708	92
967	2709	89
968	2710	86
969	2711	83
970	2713	81
971	2714	78
972	2715	75
973	2716	72
974	2717	69
975	2719	66
976	2721	64
977	2722	61
978	2723	58
979	2724	55
980	2726	52
981	2727	49
982	2728	47
983	2729	44
984	2730	41
985	2731	38
986	2732	35
987	2733	33
988	2736	30
989	2737	27
990	2738	24
991	2739	22
992	2740	19
993	2742	16
994	2743	13
995	2744	11
996	2745	8
997	2746	5
998	2747	2
999	2748	0
